Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Inc-GST Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C10070	30/06/2008	2281659/87156	I	CI/2	6396	Selwyn Times - Job 7406 - Delivery 24 Jun 2008 - 72 grams	0.0955	0.1074	610.818	687.17	Selwyn Times	S	76.35	I	201
C10070	30/06/2008	2281659/87156	I	FS	1218.58	Fuel Surcharge	0	0	0	0	Selwyn Times	S	0	I	201

C10071	30/06/2008	2277959-86417	I	CI/1	1320	Taupo Real Estate - Job 7345 - Delivery 19 Jun 2008 - 255 grams	0.17	0.1913	224.4	252.45	Taupo Real Estate	S	28.05	I	201
C10071	30/06/2008	2277959-86417	I	CI/2	1320	Taupo Real Estate - Job 7344 - Delivery 05 Jun 2008 - 404 grams	0.23	0.2588	303.6	341.55	Taupo Real Estate	S	37.95	I	201
C10071	30/06/2008	2277959-86417	I	FS	528	Fuel Surcharge	0	0	0	0	Taupo Real Estate	S	0	I	201

C10072	30/06/2008	2277972-86458	I	CI/1	3834	Te Awamutu Property Guide - Job 7346 - Delivery 05 Jun 2008 - 176 grams	0.13	0.1463	498.42	560.723	Te Awamutu Property Guide	S	62.3	I	201
C10072	30/06/2008	2277972-86458	I	CI/2	3834	Te Awamutu Property Guide - Job 7347 - Delivery 19 Jun 2008 - 176 grams	0.13	0.1463	498.42	560.723	Te Awamutu Property Guide	S	62.3	I	201
C10072	30/06/2008	2277972-86458	I	FS	996.84	Fuel Surcharge	0	0	0	0	Te Awamutu Property Guide	S	0	I	201

C10073	30/06/2008	2278252-86572	I	CI/1	3660	The Guardian - Job 7334 - Delivery 05 Jun 2008 - 101 grams	0.11	0.1238	402.6	452.925	The Guardian	S	50.32	I	201
C10073	30/06/2008	2278252-86572	I	CI/2	3660	The Guardian - Job 7335 - Delivery 12 Jun 2008 - 152 grams	0.13	0.1463	475.8	535.275	The Guardian	S	59.47	I	201
C10073	30/06/2008	2278252-86572	I	CI/3	3660	The Guardian - Job 7336 - Delivery 19 Jun 2008 - 105 grams	0.11	0.1238	402.6	452.925	The Guardian	S	50.32	I	201
C10073	30/06/2008	2278252-86572	I	CI/4	3660	The Guardian - Job 7337 - Delivery 26 Jun 2008 - 205 grams	0.15	0.1687	549	617.625	The Guardian	S	68.63	I	201
C10073	30/06/2008	2278252-86572	I	FS	1830	Fuel Surcharge	0	0	0	0	The Guardian	S	0	I	201

C10074	30/06/2008	2278952-86888	I	CI/1	13704	Valley Voice - Job 7293 - Delivery 07 Jun 2008 - 80 grams	0.0855	0.0962	1171.692	1318.154	Valley Voice	S	146.46	I	201
C10074	30/06/2008	2278952-86888	I	FS	1171.692	Fuel Surcharge	0	0	0	0	Valley Voice	S	0	I	201

C10075	30/06/2008	2277957-86658	I	CI/1	9986	Weekend Sun - Job 7338 - Delivery 06 Jun 2008 - 120 grams	0.12	0.135	1198.32	1348.11	Weekend Sun	S	149.79	I	201
C10075	30/06/2008	2277957-86658	I	CI/2	9986	Weekend Sun - Job 7339 - Delivery 13 Jun 2008 - 132 grams	0.12	0.135	1198.32	1348.11	Weekend Sun	S	149.79	I	201
C10075	30/06/2008	2277957-86658	I	CI/3	9986	Weekend Sun - Job 7340 - Delivery 20 Jun 2008 - 164 grams	0.14	0.1575	1398.04	1572.795	Weekend Sun	S	174.76	I	201
C10075	30/06/2008	2277957-86658	I	CI/4	9986	Weekend Sun - Job 7341 - Delivery 27 Jun 2008 - 134 grams	0.12	0.135	1198.32	1348.11	Weekend Sun	S	149.79	I	201
C10075	30/06/2008	2277957-86658	I	FS	4993	Fuel Surcharge	0	0	0	0	Weekend Sun	S	0	I	201

C10076	30/06/2008		I	CI/1	29650	Coast N Country - Job 7290 - Delivery 06 Jun 2008 - 205 grams	0.105	0.1181	3113.25	3502.406	Coast N Country	S	389.16	I	217
C10076	30/06/2008		I	FS	3113.25	Fuel Surcharge	0	0	0	0	Coast N Country	S	0	I	217

C10077	30/06/2008		I	CI/1	101994	Terra Firma Magazine - Job 7559 - Delivery 30 Jun 2008 - 180 grams	0.185	0.2081	18868.89	21227.501	Terra Firma Magazine	S	2358.61	I	219
C10077	30/06/2008		I	FS	18868.89	Fuel Surcharge	0	0	0	0	Terra Firma Magazine	S	0	I	219

